energies_json,params_json
-1.116803467323562,"[0.0009986071914359189, 0.0009971108074518134, 0.000999998254805272]"
-1.116879243033202,"[0.0005759060230443381, 0.00039947737920809415, 0.0019998117705307267]"
-1.117017395559231,"[-7.428577804722517e-05, -0.00016667027022679076, 0.0029995202887101724]"
-1.1171715798291075,"[-0.0004991697936909845, -0.0006867471321465273, 0.003998964664257983]"
-1.1173992632565102,"[-0.0008577069601560807, -0.0008190666985824046, 0.004998057931683611]"
-1.117587286594185,"[-0.0008244284754362672, -0.0007337303266415753, 0.005996787237260151]"
-1.1177850680362025,"[-0.0006467996869127449, -0.00039061490380632466, 0.00699497879276435]"
-1.117932131820074,"[-0.0003689274969511454, 5.099513919935812e-05, 0.007992652764231285]"
-1.1181044291990514,"[-0.00021561753150880738, 0.0004413893780963076, 0.008989703380804279]"
-1.1182893175314046,"[-5.8255232874541025e-05, 0.0006435019079961208, 0.009985991745153265]"
-1.1184399224724577,"[-4.133954412986815e-05, 0.0007174701019877471, 0.010981504116144465]"
-1.1185861106399495,"[-1.7181239887527086e-05, 0.0006795049293518686, 0.011976172656741085]"
-1.118748648400785,"[-6.6934138221253e-05, 0.0005336850689687868, 0.012969670318837195]"
-1.1190204490143254,"[-9.585900163563538e-05, 0.0002249829876236913, 0.013962288723904533]"
-1.119209004381555,"[-0.00012099705770586577, -0.00014606082357381824, 0.014953714799720382]"
-1.119329523435891,"[-5.634998219657983e-05, -0.0005140187418224252, 0.01594417952636973]"
-1.1194070169305548,"[9.610101724556292e-05, -0.0007112492853919809, 0.016933453200999777]"
-1.119570810860974,"[0.0003326509968228905, -0.0008386644563086152, 0.01792146252894899]"
-1.1197994511856444,"[0.0005789569681630697, -0.0009088550457407364, 0.018908301633112187]"
-1.119936877641305,"[0.0007423636570688069, -0.000814404661408043, 0.01989381522551563]"
-1.120138110108114,"[0.0008845119816216155, -0.0006754451106816473, 0.0208779541208597]"
-1.1202651650563664,"[0.001009096035923686, -0.0005678224928829953, 0.021860490242675282]"
-1.1204538918495173,"[0.000985793204247233, -0.0004183756323243827, 0.02284141399809917]"
-1.1206370681330793,"[0.0008170329181164077, -0.00038906899418791386, 0.023820601948871995]"
-1.1208048558021115,"[0.0005361046818820065, -0.0003984571730507311, 0.024798300367731136]"
-1.1209111183249498,"[0.00025613580990639645, -0.00040277470078134366, 0.02577430053009828]"
-1.1211651866138876,"[5.999522770692975e-05, -0.0003084031137660829, 0.026748296254250636]"
-1.1211597863830776,"[-0.00014466847593171836, -0.00013064953046130833, 0.027720458972479038]"
-1.121418303050643,"[-0.0002892637811930118, 0.0001282445254410964, 0.028690920924816846]"
-1.121580175938709,"[-0.00033613916904435366, 0.00031858304267469776, 0.029659382677950548]"
-1.1216992362523261,"[-0.0003275944246194847, 0.00035528333898143214, 0.03062592134275997]"
-1.1218822019359034,"[-0.00020357335214391648, 0.00037796642199424053, 0.0315904380233048]"
-1.1219321267894296,"[-7.999858540505612e-05, 0.0003289004028504872, 0.03255297749690735]"
-1.1221728887005307,"[3.758907679572666e-05, 0.0003356189136180539, 0.03351347644801809]"
-1.1223149221175768,"[8.190349510704703e-05, 0.0003631835442332545, 0.03447176919839864]"
-1.1224775109803642,"[5.1341685265954416e-05, 0.00027656861132630293, 0.035428010633520024]"
-1.1226706409689315,"[3.9225700978255115e-05, 0.0001019837762062898, 0.036382007165512986]"
-1.1227101794960204,"[5.3666291023324055e-05, -7.760117149713643e-06, 0.03733397407809198]"
-1.1229177202372145,"[4.1459828557476166e-05, -9.958665628061003e-05, 0.03828366227545172]"
-1.1229755093550697,"[0.00019590493695267425, -0.00020555516037950255, 0.03923105378142121]"
-1.123160428696179,"[0.0003753207605220974, -0.00031678514581229066, 0.04017627577711127]"
