energies_json,params_json
-1.116643685022219,"[0.0, 0.0, 0.0]"
-0.9406592007893386,"[1.0, 0.0, 0.0]"
-0.9408197893339569,"[0.0, 1.0, 0.0]"
-0.9068535581720766,"[0.0, 0.0, 1.0]"
-0.7415541771365606,"[-0.5407961871318512, -0.5403027023055883, -0.644680132984514]"
-0.9831146502933013,"[-0.2703980935659256, -0.27015135115279415, -0.322340066492257]"
-1.096577343825484,"[0.23960999839774555, -0.04581363438986745, -0.05466406106230976]"
-1.097833196245008,"[0.0, 0.09580296705944247, -0.0802919143040405]"
-1.1362953091348467,"[0.006521375576179703, 0.06128261927785543, 0.24228477507891374]"
-1.1186828438019556,"[-0.10876620701152324, -0.09172290361100675, 0.4029025924796911]"
-1.1326190694400387,"[0.1248199792189702, 0.0306631112102957, 0.2686075048360381]"
-1.129168459685377,"[0.006998135921978274, 0.1822364986755856, 0.27382731394648135]"
-1.136028881219832,"[-0.02423353101317229, 0.02679568873356155, 0.28436846957349543]"
-1.136799211089942,"[-0.015499292899812916, 0.028125522456464803, 0.19409818887230068]"
-1.1353076256110266,"[-0.06420065283668382, 0.06104014582526867, 0.17286013084457283]"
-1.1363494400480652,"[0.029206721332635716, -0.013004112345796577, 0.17940208624334802]"
-1.1371209983152253,"[-0.030406817548719642, 0.007786172597813303, 0.21255459849523686]"
-1.136702440744031,"[-0.045176811312002206, 0.002691083376803893, 0.21238734102141896]"
-1.1370082877121521,"[-0.0324744311478559, 0.013623560579312674, 0.2173174791160496]"
-1.137262171522655,"[-0.018598254673066278, 0.00013062573811856073, 0.21934363893485417]"
-1.1372572115268889,"[-0.006086714064976349, 0.0027992237057341213, 0.21037254304308295]"
-1.1373256963835534,"[-0.017729958694963993, -0.0075883541757734, 0.21850783546911365]"
-1.137117806444836,"[-0.014416783556529207, -0.013915827960890612, 0.2216734479297146]"
-1.136992077288605,"[-0.02092917967096101, -0.008182249079974498, 0.22066909969451615]"
-1.1369915424667845,"[-0.014715989280123307, -0.007099083723223027, 0.2113167466057588]"
-1.1371592496566547,"[-0.021563607764265125, -0.008334299091238345, 0.21858193040172424]"
-1.1370891571889887,"[-0.01719777964711813, -0.006120814743905778, 0.2196816373018659]"
-1.1370475467866927,"[-0.017867396596129004, -0.006954539178571436, 0.21777772336193318]"
-1.1371455530427266,"[-0.0171196737380057, -0.009317052195762876, 0.2191815213696785]"
-1.13717678186713,"[-0.018627613562962206, -0.0076818669448628675, 0.21888085747433933]"
-1.1372202303560557,"[-0.01744182983460502, -0.007971219631296933, 0.21860172040878215]"
-1.1371713642629258,"[-0.017563400232589826, -0.007289950251234221, 0.2188565932009745]"
-1.1374647914744354,"[-0.017950593596544107, -0.00766996905720704, 0.2185731339844773]"
-1.1373138605782238,"[-0.018185102700325258, -0.007737056631777209, 0.21856267538239843]"
-1.1370202132037472,"[-0.017984424801219544, -0.007556080381855425, 0.21860116932664947]"
-1.1371878254696255,"[-0.017871239516021282, -0.007861637847079805, 0.21870186101997677]"
-1.1369563844747494,"[-0.01797403186850505, -0.00772419027204207, 0.2184663076372443]"
-1.137169075157114,"[-0.017929099686375318, -0.0077031851616512015, 0.2186196097042638]"
-1.1370681094551802,"[-0.017978839025670792, -0.007679838710025415, 0.21857914299948059]"
-1.1373503710295851,"[-0.017905752311052472, -0.007662253157898494, 0.21853245211736455]"
-1.137143687895352,"[-0.01794613390992789, -0.007642453823486552, 0.21858555757828937]"
-1.1372482132655717,"[-0.017941748343037217, -0.007678667747245312, 0.21858201795462984]"
-1.1371399694489408,"[-0.017947101036106573, -0.007669495888564858, 0.2185582878140391]"
-1.1373331222265717,"[-0.017950401576980406, -0.007663067164249459, 0.21857637969903695]"
-1.1372945102085448,"[-0.017957609346330426, -0.007672759847814724, 0.21857422870071144]"
-1.1371860625841077,"[-0.01794910906856297, -0.007669958863681242, 0.21856962001407423]"
-1.137311755754663,"[-0.017948791157227334, -0.007671828322125951, 0.2185759351024147]"
-1.137112684085327,"[-0.017952455137029845, -0.007670292248020386, 0.21857339512337753]"
-1.137014604481586,"[-0.01795003619842949, -0.007668235372368986, 0.2185737011026583]"
-1.137213959875131,"[-0.01795008829576089, -0.00767069840834836, 0.21857348357385487]"
