energies_json,params_json
-1.116686695489947,"[0.0, 0.0, 0.0]"
-1.1148365212942228,"[0.1, 0.0, 0.0]"
-1.1147705232819078,"[0.0, 0.1, 0.0]"
-1.1349866282804402,"[0.0, 0.0, 0.3]"
-1.114787365670572,"[-0.1, 0.0, 0.0]"
-1.1147854560729697,"[0.0, -0.1, 0.0]"
-1.0279535654135992,"[0.0, 0.0, -0.3]"
-1.1244838475219021,"[7.336528656504138e-06, -2.2287348101918125e-06, 0.047924392445582165]"
-1.1225088378266255,"[7.336528656504138e-06, 0.0999977712651898, 0.047924392445582165]"
-1.122475999467136,"[-0.0999926634713435, -2.2287348101918125e-06, 0.047924392445582165]"
-1.0465907750864862,"[7.336528656504138e-06, -2.2287348101918125e-06, -0.2520756075544178]"
-1.1343959187671775,"[0.05000000000000002, 0.0, 0.3]"
-1.1345449387579953,"[0.0, 0.05000000000000002, 0.3]"
-1.1345344133058475,"[-0.05, 0.0, 0.3]"
-1.1344445775461949,"[0.0, -0.05, 0.3]"
-1.1350282111790078,"[0.0, 0.0, 0.14999999999999997]"
-1.1347950144783459,"[0.024999999999999994, 0.0, 0.14999999999999997]"
-1.1348501673109415,"[0.0, 0.024999999999999994, 0.14999999999999997]"
-1.1372814258093402,"[0.0, 0.0, 0.22500000000000003]"
-1.1347245770223613,"[-0.024999999999999994, 0.0, 0.14999999999999997]"
-1.1349050826675577,"[0.0, -0.024999999999999994, 0.14999999999999997]"
-1.1281618010620895,"[0.0, 0.0, 0.07500000000000001]"
-1.135837192826298,"[4.2051458282260645e-05, -3.278469949723195e-05, 0.16633336330428744]"
-1.1357283234955469,"[0.025042051458282255, -3.278469949723195e-05, 0.16633336330428744]"
-1.1356657208302239,"[4.2051458282260645e-05, 0.024967215300502762, 0.16633336330428744]"
-1.1372920096333037,"[4.2051458282260645e-05, -3.278469949723195e-05, 0.2413333633042875]"
-1.1357150434733745,"[-0.024957948541717734, -3.278469949723195e-05, 0.16633336330428744]"
