energies_json,params_json
-0.9482310220852151,"[0.0, 0.0, 0.0]"
-0.8068789675911334,"[1.0, 0.0, 0.0]"
-0.7672443379778071,"[0.0, 1.0, 0.0]"
-0.6554989988119806,"[0.0, 0.0, 1.0]"
-0.5833250261662888,"[-0.37991739570325556, -0.4864449259627363, -0.7867872053148578]"
-0.7692063669672403,"[-0.18995869785162778, -0.24322246298136815, -0.3933936026574289]"
-0.8483159986082499,"[0.2454560573423062, -0.02495176958078732, -0.0403575656941518]"
-0.8589310203146235,"[-2.919191549230347e-17, 0.10632024853058013, -0.06573434986668446]"
-0.8573991672148564,"[-0.08255663503798036, -0.09055285853864833, 0.21790957257928173]"
-0.8498675737020605,"[-0.042690743454766, -0.09018067027924563, -0.0752990513304473]"
-0.8623541329656881,"[-0.007931786761199502, 0.0007683608144863196, 0.06198988934038858]"
-0.8582330544712619,"[0.060926660881278155, -0.012460472055430518, -0.006239281209687986]"
-0.8574830021455031,"[-0.009506456966102321, 0.026203895604506647, -0.014126062122890519]"
-0.8583540638441343,"[-0.013725121634173136, -0.026803258620791637, -0.008352775792161034]"
-0.8591495898243304,"[0.015554002080064414, -0.0013398292130204477, -0.0006469172847349747]"
-0.86014425637058,"[-0.005519140391303631, 0.00199834481358905, 0.014480550139655695]"
-0.8587472150588753,"[-0.0029708522425352757, 0.005009279319829098, -0.0052073327048457]"
-0.8588543301970457,"[-0.002178708989576335, -0.0073724662984686355, -0.0013910873684580087]"
-0.8591347664366308,"[-0.0005302240596149903, 0.0011078104233072082, 0.0037081542005581833]"
-0.858824637732815,"[0.0037574387008663217, -8.822059885159897e-05, -0.0010642652853824896]"
-0.8591895059061221,"[-0.0009625019259756758, -0.0016382908367835868, -0.00045198500221694344]"
-0.8591123814049005,"[-0.000642401649687747, 0.001569220139492914, -0.0009693118899060822]"
-0.8591932323756312,"[0.0009706017919536828, -0.00010244384026078545, -3.334272717059036e-05]"
-0.859014367191745,"[-0.00033655219095013667, 0.00017851230355413373, 0.0008991886880142061]"
-0.8589167803551443,"[-0.00017293027043344873, 0.00030924584805365224, -0.000335977240495475]"
-0.8592134100548474,"[-0.0001474715759007245, -0.0004604574250490526, -6.81885116432049e-05]"
-0.8590180595367544,"[0.00024095980245593938, 1.960884510219973e-05, 3.403691480647489e-05]"
-0.8589222308899759,"[-0.0001306224467968912, 6.381631535939889e-05, 0.00019613744941273636]"
-0.8588745275309246,"[-3.3274005788029195e-05, -0.00010763459007990041, -4.699783772683232e-05]"
-0.8595461257215401,"[-2.1458985279756207e-05, 9.399984647385305e-05, -7.486455775267038e-05]"
-0.859193176805471,"[5.664344137256446e-05, -6.743651096597857e-08, 2.2733374150173033e-05]"
-0.8590585141915626,"[-4.2996031304835283e-05, 8.446513095000075e-06, 4.248868092835468e-05]"
-0.8589893665537238,"[-3.2092573887292017e-06, 1.8368039887033622e-05, -2.415860824502743e-05]"
-0.8585278189388282,"[-3.84296653642836e-06, -2.9527250819619364e-05, -6.685479926726143e-06]"
-0.8589108931191217,"[-8.084748555286796e-06, 4.546850715693454e-06, 1.2115842233243864e-05]"
-0.8591634455615812,"[1.507598269181621e-05, 6.374297275688041e-07, 2.2669523312895722e-06]"
-0.8589124866506063,"[-2.3370464511690833e-06, -6.676231289405836e-06, -2.8589876825379782e-06]"
-0.8590948958786434,"[-1.0446259720627555e-06, 5.849705816863992e-06, -4.785118530204548e-06]"
-0.8592622501987918,"[-1.3177818867233488e-06, 6.783489489106827e-07, 3.5149976999853746e-06]"
-0.8590329586552452,"[3.790384132102587e-06, -4.100575578634498e-07, -1.2944558204447804e-07]"
-0.859068392902229,"[-6.697298137474076e-07, 1.2225889054862342e-06, -1.3018130249200715e-06]"
-0.8589436732432636,"[-5.831679608529556e-07, -1.7942114344864185e-06, -2.805338925771812e-07]"
-0.8590711849224401,"[-1.258069739056948e-07, 3.001852130742717e-07, 8.964129321585975e-07]"
-0.8591587685875051,"[9.179621877759218e-07, -5.872814850337768e-08, -2.517759483348976e-07]"
-0.8592169728579269,"[-2.6689914905159153e-07, 2.3635465240556703e-07, -3.166622774581967e-07]"
-0.8589522851814569,"[-1.1686298244913351e-07, -4.607540078832079e-07, 3.771555376613665e-08]"
-0.859195970050163,"[1.600782623600603e-08, 1.1067783942368733e-07, 2.1056491687959397e-07]"
-0.859076660267399,"[2.0838063859580343e-07, -1.3543803473252705e-08, -1.1505430764074451e-07]"
-0.8594735285351363,"[-8.870297049915098e-08, 4.1280381645024565e-08, -6.810703217047324e-08]"
-0.8591147171329172,"[-1.5601873220652164e-08, -1.1319137726952524e-07, 3.398747385488817e-08]"
-0.8588035278638564,"[5.400954607410063e-08, 1.0474631389326099e-08, -2.2933920487519037e-08]"
-0.8588392312527672,"[-9.962818075892739e-09, 2.9074994737674213e-08, 5.106956643433917e-08]"
-0.8587726388976357,"[-6.754216502376068e-09, -2.8990541869687784e-08, 1.4517097647379277e-09]"
-0.8588204517051399,"[-1.7407372936322053e-08, 1.5154361272023192e-08, -1.8854896488523383e-08]"
-0.8586780925929308,"[7.96050098921098e-10, 4.324868497965896e-09, 8.981192388280632e-09]"
-0.8589727937801326,"[4.869601090269338e-09, -1.1289109525065434e-09, 1.1200572734658986e-10]"
-0.8588993675296339,"[-7.822997529464437e-09, 3.0047616349276083e-09, -5.456383158399019e-09]"
-0.8590368811514587,"[-2.7903355347223893e-09, -3.636067098074222e-09, 1.9982601587299957e-09]"
-0.8589881000434635,"[8.537656248540396e-09, 6.648848545264632e-10, -5.163947512512153e-09]"
