energies_json,params_json
-0.9482871343281118,"[0.0, 0.0, 0.0]"
-0.9372903502464793,"[0.1, 0.0, 0.0]"
-0.9354609956469053,"[0.0, 0.1, 0.0]"
-0.8717306674780219,"[0.0, 0.0, 0.3]"
-0.9373751057362988,"[-0.1, 0.0, 0.0]"
-0.9353774898016609,"[0.0, -0.1, 0.0]"
-0.8278101502836819,"[0.0, 0.0, -0.3]"
-0.9383922264640537,"[0.05000000000000002, 0.0, 0.0]"
-0.9367894010028769,"[0.0, 0.05000000000000002, 0.0]"
-0.8814388022327532,"[0.0, 0.0, 0.14999999999999997]"
-0.9386820045814288,"[-0.05, 0.0, 0.0]"
-0.9365902940261822,"[0.0, -0.05, 0.0]"
-0.8594013177778416,"[0.0, 0.0, -0.15]"
-0.9389614158364633,"[0.024999999999999994, 0.0, 0.0]"
-0.9369779573638024,"[0.0, 0.024999999999999994, 0.0]"
-0.881457969301685,"[0.0, 0.0, 0.07500000000000001]"
-0.9388693515596225,"[-0.024999999999999994, 0.0, 0.0]"
-0.9368278742158183,"[0.0, -0.024999999999999994, 0.0]"
-0.8700607195541393,"[0.0, 0.0, -0.07500000000000001]"
-0.939085800681505,"[0.012499999999999997, 0.0, 0.0]"
-0.9370498735951178,"[0.0, 0.012499999999999997, 0.0]"
-0.8798615818739375,"[0.0, 0.0, 0.03749999999999998]"
-0.9387663775270653,"[-0.012499999999999997, 0.0, 0.0]"
-0.9372699045301273,"[0.0, -0.012499999999999997, 0.0]"
-0.8740566735849536,"[0.0, 0.0, -0.03749999999999998]"
-0.9387613664317157,"[0.0062500000000000056, 0.0, 0.0]"
-0.9371924483367331,"[0.0, 0.0062500000000000056, 0.0]"
-0.8787016562353455,"[0.0, 0.0, 0.01874999999999999]"
-0.9387486325603134,"[-0.0062500000000000056, 0.0, 0.0]"
-0.9372519341243675,"[0.0, -0.0062500000000000056, 0.0]"
-0.8756146632503905,"[0.0, 0.0, -0.01874999999999999]"
-0.9387132017889785,"[0.0031250000000000028, 0.0, 0.0]"
-0.936957539256735,"[0.0, 0.0031250000000000028, 0.0]"
-0.8781293598335954,"[0.0, 0.0, 0.009375000000000022]"
-0.9385964709971483,"[-0.0031250000000000028, 0.0, 0.0]"
-0.9370029495414187,"[0.0, -0.0031250000000000028, 0.0]"
-0.8769641728200042,"[0.0, 0.0, -0.009375000000000022]"
-0.9389563469700846,"[0.0015624999999999944, 0.0, 0.0]"
-0.9373490182811117,"[0.0, 0.0015624999999999944, 0.0]"
-0.8777548560475926,"[0.0, 0.0, 0.004687500000000011]"
-0.9388005718109034,"[-0.0015624999999999944, 0.0, 0.0]"
-0.9369881061532006,"[0.0, -0.0015624999999999944, 0.0]"
-0.8767674177897603,"[0.0, 0.0, -0.004687500000000011]"
-0.9390566557674064,"[0.0007812499999999972, 0.0, 0.0]"
-0.9371891378678189,"[0.0, 0.0007812499999999972, 0.0]"
-0.8776103603506986,"[0.0, 0.0, 0.002343749999999978]"
-0.938750671779003,"[-0.0007812499999999972, 0.0, 0.0]"
-0.9373694733985751,"[0.0, -0.0007812499999999972, 0.0]"
-0.8770604684820235,"[0.0, 0.0, -0.002343749999999978]"
